Index,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90
14,Paris S-G,Marco Asensio,ESP,"FW,MF",29.0,12.0,8.0,618.0,6.9,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,5.6,5.6,2.7,8.3,19.0,36.0,49.0,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21
15,Paris S-G,Désiré Doué,FRA,"FW,MF",19.0,17.0,7.0,826.0,9.2,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,3.7,5.8,51.0,56.0,108.0,0.11,0.33,0.44,0.11,0.44,0.23,0.4,0.63,0.23,0.63
16,Paris S-G,Gonçalo Ramos,POR,FW,23.0,9.0,5.0,378.0,4.2,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,4.2,4.2,1.5,5.8,3.0,8.0,23.0,0.95,0.48,1.43,0.95,1.43,1.01,0.37,1.38,1.01,1.38
17,Paris S-G,Matvei Safonov,RUS,GK,25.0,5.0,4.0,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Paris S-G,Milan Škriniar,SVK,DF,29.0,5.0,4.0,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
19,Paris S-G,Senny Mayulu,FRA,MF,18.0,11.0,3.0,293.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.7,2.7,12.0,15.0,29.0,0.31,0.0,0.31,0.31,0.31,0.62,0.22,0.84,0.62,0.84
20,Paris S-G,Lucas Hernández,FRA,DF,28.0,6.0,3.0,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Paris S-G,Randal Kolo Muani,FRA,FW,26.0,10.0,2.0,358.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,4.7,3.9,0.9,4.7,8.0,5.0,35.0,0.5,0.25,0.75,0.25,0.5,1.17,0.21,1.39,0.98,1.19
22,Paris S-G,Yoram Zague,FRA,DF,18.0,3.0,2.0,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
23,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23.0,2.0,2.0,139.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,7.0,8.0,23.0,0.0,0.65,0.65,0.0,0.65,0.32,0.16,0.47,0.32,0.47
24,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",17.0,5.0,1.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
25,Paris S-G,Naoufel El Hannach,MAR,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Paris S-G,Presnel Kimpembe,FRA,DF,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Paris S-G,Carlos Soler,ESP,MF,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Paris S-G,Axel Tapé,FRA,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Paris S-G,Arnau Tenas,ESP,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Marseille,Gerónimo Rulli,ARG,GK,32.0,20.0,20.0,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Marseille,Mason Greenwood,ENG,"FW,MF",23.0,20.0,20.0,1720.0,19.1,13.0,3.0,16.0,9.0,4.0,5.0,1.0,0.0,9.3,5.3,3.9,9.2,79.0,87.0,177.0,0.68,0.16,0.84,0.47,0.63,0.49,0.2,0.69,0.28,0.48
32,Marseille,Pierre Højbjerg,DEN,MF,29.0,19.0,19.0,1705.0,18.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,1.8,3.5,23.0,153.0,25.0,0.11,0.05,0.16,0.11,0.16,0.09,0.1,0.18,0.09,0.18
33,Marseille,Luis Henrique,BRA,"DF,FW",23.0,20.0,18.0,1565.0,17.4,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,2.7,2.7,2.3,5.0,47.0,79.0,146.0,0.4,0.23,0.63,0.4,0.63,0.16,0.13,0.29,0.16,0.29
34,Marseille,Leonardo Balerdi,ARG,DF,26.0,17.0,17.0,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,0.7,0.8,8.0,76.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
35,Marseille,Michael Amir Murillo,PAN,DF,28.0,19.0,16.0,1514.0,16.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,2.0,2.8,19.0,85.0,56.0,0.0,0.12,0.12,0.0,0.12,0.05,0.12,0.17,0.05,0.17
36,Marseille,Adrien Rabiot,FRA,MF,29.0,15.0,13.0,1225.0,13.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,1.1,3.4,36.0,78.0,81.0,0.22,0.07,0.29,0.22,0.29,0.17,0.08,0.25,0.17,0.25
37,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",31.0,13.0,12.0,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,7.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
38,Marseille,Neal Maupay,FRA,FW,28.0,15.0,12.0,839.0,9.3,3.0,4.0,7.0,3.0,0.0,0.0,3.0,1.0,3.3,3.3,2.2,5.5,8.0,28.0,58.0,0.32,0.43,0.75,0.32,0.75,0.36,0.23,0.59,0.36,0.59
39,Marseille,Quentin Merlin,FRA,"DF,MF",22.0,13.0,11.0,896.0,10.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.8,2.5,18.0,51.0,92.0,0.1,0.3,0.4,0.1,0.4,0.08,0.18,0.25,0.08,0.25
40,Marseille,Derek Cornelius,CAN,DF,27.0,13.0,10.0,857.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7,0.7,0.1,0.8,5.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
41,Marseille,Valentin Rongier,FRA,"MF,DF",30.0,14.0,9.0,797.0,8.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,15.0,49.0,12.0,0.23,0.0,0.23,0.23,0.23,0.09,0.05,0.14,0.09,0.14
42,Marseille,Lilian Brassier,FRA,DF,25.0,12.0,9.0,779.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.3,11.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
43,Marseille,Amine Harit,MAR,MF,27.0,9.0,8.0,472.0,5.2,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.7,0.7,1.3,2.0,12.0,33.0,21.0,0.38,0.57,0.95,0.38,0.95,0.14,0.25,0.39,0.14,0.39
44,Marseille,Elye Wahi,FRA,FW,22.0,13.0,7.0,574.0,6.4,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,6.0,5.2,0.4,5.6,7.0,7.0,41.0,0.47,0.16,0.63,0.31,0.47,0.94,0.07,1.0,0.81,0.88
