Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
Vitinha,pt POR,MF,Paris S-G,fr Ligue 1,25.0,2000.0,27,18,1862,20.7,0.24,0.29,0.15,0.19,0.16,0.25,0.08,0.17,37.0,25.0,67.6,9.0,24.3,112.27,2.66,15.85,70.05,27.0,1.4,112.17,1.79,1.21,0.43,75.7,380.48,176.62,2.32,2.37,0.39,1.35,0.92,94.44,2.56,3.05,0.19,2.75,0.05,0.14,0.1,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.0,2020.0,2163.0,93.4,35718.0,8138.0,925.0,962.0,96.2,821.0,857.0,95.8,229.0,264.0,86.7,0.05,0.1,0.16,-0.05,1.06,10.92,1.55,0.14,9.81,104.49,101.21,3.14,2.42,0.58,0.97,0.87,0.34,0.29,0.1,0.05,0.0,97.58,0.14,0.87,1.02,0.44,0.14,0.33,0.08,1.8,1.4,0.0,0.05,0.0,0.0,0.34,0.58,0.0,0.63,0.97,0.0,0.0,6.14,0.0,0.19,1.88,0.63,1.16,0.1,1.06,2.03,0.97,1.21,0.34,2.51,0.92,0.1,52.4
Daniel Vivian,es ESP,DF,Athletic Club,es La Liga,25.0,1999.0,26,23,2129,23.7,0.13,0.13,0.13,0.13,0.06,0.08,0.06,0.08,14.0,9.0,64.3,5.0,35.7,70.97,4.98,30.17,38.4,2.87,0.97,70.97,0.59,0.38,0.21,39.28,219.49,149.37,1.39,0.59,0.04,0.72,0.46,45.74,0.25,1.27,0.04,1.18,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1248.0,1437.0,86.8,25703.0,9627.0,331.0,368.0,89.9,764.0,813.0,94.0,147.0,233.0,63.1,0.0,0.01,0.03,-0.01,0.38,6.12,0.34,0.13,6.33,60.63,58.23,2.32,2.03,0.08,0.42,0.34,0.08,0.0,0.0,0.0,0.0,52.66,0.08,0.46,0.59,0.17,0.21,0.75,0.11,1.5,1.5,55.2,0.13,0.0,0.0,1.1,0.59,0.04,1.35,0.93,0.0,0.04,5.99,1.35,1.1,1.52,0.89,0.55,0.08,0.8,1.18,0.38,0.89,0.34,2.87,4.47,0.04,67.9
Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,25.0,2000.0,25,20,1701,18.9,0.48,0.69,0.26,0.48,0.63,0.7,0.46,0.53,28.0,9.0,32.1,18.0,64.3,28.04,0.69,1.27,11.96,15.08,6.14,27.83,1.48,0.48,0.95,15.34,68.41,24.92,1.32,0.48,0.85,2.49,1.32,21.38,5.93,2.12,0.37,1.43,0.0,0.32,0.26,0.11,0.0,0.21,0.0,0.16,0.0,0.0,0.0,238.0,343.0,69.4,3703.0,390.0,136.0,171.0,79.5,77.0,110.0,70.0,19.0,27.0,70.4,0.21,0.07,0.04,0.14,0.79,0.58,0.32,0.0,1.11,18.15,16.3,1.69,0.0,0.16,0.21,0.48,0.0,0.0,0.0,0.0,0.0,12.59,0.16,0.58,3.65,1.27,0.07,0.21,0.13,-2.8,-3.7,46.8,0.16,0.0,0.0,1.32,0.9,0.63,0.05,0.05,0.0,0.0,1.69,1.9,2.17,0.16,0.0,0.05,0.11,0.05,0.26,0.21,0.37,0.16,0.21,0.42,0.16,20.0
Nikola Vlašić,hr CRO,"MF,FW",Torino,it Serie A,27.0,1997.0,25,19,1745,19.4,0.21,0.41,0.15,0.36,0.11,0.22,0.07,0.18,44.0,22.0,50.0,20.0,45.5,42.27,0.62,4.9,20.52,17.84,2.53,42.22,2.27,1.13,1.03,25.77,145.36,73.4,2.37,1.7,0.52,1.86,1.49,30.26,4.85,2.79,0.41,2.32,0.0,0.15,0.1,0.15,0.05,0.31,0.0,0.05,0.0,0.05,0.0,507.0,643.0,78.8,7297.0,1930.0,287.0,333.0,86.2,178.0,223.0,79.8,19.0,31.0,61.3,0.21,0.1,0.09,0.1,1.13,2.16,1.08,0.15,4.18,33.14,32.78,0.21,0.0,0.15,0.1,0.98,0.21,0.0,0.0,0.0,0.0,26.13,0.15,0.93,1.19,0.46,0.13,0.33,0.06,1.8,1.6,48.9,0.0,0.0,0.0,1.19,1.03,0.31,0.46,0.82,0.0,0.0,3.92,1.19,1.24,1.65,0.52,0.72,0.41,0.57,1.44,0.88,0.62,0.15,2.11,0.62,0.0,39.3
Kevin Vogt,de GER,DF,Union Berlin,de Bundesliga,33.0,1991.0,15,14,1196,13.3,0.08,0.08,0.0,0.0,0.06,0.06,0.0,0.0,2.0,2.0,100.0,0.0,0.0,67.29,9.7,35.64,31.8,0.6,0.08,67.22,0.15,0.15,0.0,35.34,159.85,83.53,0.6,0.15,0.08,0.38,0.08,39.62,0.0,0.98,0.0,0.83,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,781.0,87.3,14011.0,6307.0,196.0,207.0,94.7,376.0,411.0,91.5,99.0,148.0,66.9,0.0,0.0,0.02,0.0,0.08,4.51,0.53,0.0,4.36,58.72,53.98,4.59,2.48,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,51.28,0.15,0.08,0.0,0.0,0.0,0.0,0.0,0.2,0.0,54.2,0.38,0.0,0.0,0.6,0.38,0.0,0.68,0.45,0.0,0.08,6.02,0.98,0.83,0.68,0.45,0.23,0.0,0.53,0.83,0.3,1.13,0.6,1.35,4.81,0.0,63.6
Stefan de Vrij,nl NED,DF,Inter,it Serie A,33.0,1992.0,23,15,1456,16.2,0.12,0.12,0.12,0.12,0.06,0.06,0.06,0.06,8.0,3.0,37.5,5.0,62.5,83.27,7.35,34.94,46.3,2.41,1.05,83.27,0.49,0.19,0.31,50.68,273.64,146.42,0.56,0.43,0.0,0.19,0.06,59.38,0.25,0.68,0.19,0.37,0.0,0.0,0.31,0.0,0.0,0.12,0.0,0.0,0.06,0.0,0.0,1095.0,1176.0,93.1,20131.0,6650.0,351.0,371.0,94.6,672.0,702.0,95.7,62.0,86.0,72.1,0.0,0.0,0.02,0.0,0.06,3.64,0.06,0.0,4.14,72.59,70.93,1.67,1.36,0.12,0.06,0.0,0.12,0.0,0.0,0.0,0.0,67.59,0.0,0.25,0.74,0.12,0.17,1.0,0.08,1.0,1.0,61.8,0.06,0.0,0.0,0.25,0.19,0.0,1.23,0.62,0.0,0.0,3.58,3.4,2.1,0.99,0.68,0.25,0.06,0.49,0.68,0.19,1.11,0.62,2.22,4.14,0.0,72.7
Hauke Wahl,de GER,DF,St. Pauli,de Bundesliga,31.0,1994.0,29,29,2610,29.0,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.04,9.0,7.0,77.8,2.0,22.2,63.45,6.97,28.66,31.93,3.28,0.86,63.45,0.31,0.24,0.07,31.86,192.31,118.76,0.97,0.48,0.03,0.34,0.24,39.83,0.31,0.79,0.0,0.66,0.0,0.0,0.07,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,1549.0,86.3,23191.0,8180.0,530.0,580.0,91.4,706.0,777.0,90.9,77.0,147.0,52.4,0.0,0.02,0.06,-0.02,0.28,3.79,0.28,0.03,4.48,53.41,51.72,1.55,1.03,0.0,0.0,0.28,0.14,0.0,0.0,0.0,0.0,46.1,0.14,0.38,0.31,0.14,0.0,0.0,0.08,-0.7,-0.7,48.3,0.03,0.0,0.0,0.41,0.45,0.03,1.07,0.79,0.0,0.0,3.72,1.45,1.55,1.03,0.55,0.41,0.07,0.62,1.03,0.41,1.34,0.76,2.1,4.86,0.1,60.0
Kyle Walker-Peters,eng ENG,DF,Southampton,eng Premier League,28.0,1997.0,31,31,2738,30.4,0.0,0.07,0.0,0.07,0.02,0.11,0.02,0.11,82.0,32.0,39.0,37.0,45.1,63.09,4.61,19.05,27.47,17.07,1.88,63.09,2.7,1.05,1.22,39.24,247.24,137.04,3.62,2.24,0.76,0.99,1.15,44.57,4.34,1.94,0.23,1.25,0.1,0.26,0.16,0.1,0.07,0.16,0.0,0.03,0.03,0.0,0.0,1420.0,1612.0,88.1,21389.0,6242.0,785.0,838.0,93.7,552.0,615.0,89.8,53.0,86.0,61.6,0.07,0.09,0.08,-0.02,0.76,3.72,0.95,0.13,4.34,53.03,46.71,6.22,1.18,0.16,0.07,1.68,4.7,0.1,0.0,0.0,0.0,46.71,0.1,1.05,0.62,0.16,0.0,0.0,0.04,-0.7,-0.7,33.3,0.16,0.0,0.0,0.86,1.58,0.07,0.56,0.92,0.0,0.0,4.14,0.33,0.66,1.41,0.72,0.46,0.23,0.53,1.09,0.56,0.82,0.46,1.97,2.66,0.03,48.5
Aaron Wan-Bissaka,eng ENG,DF,West Ham,eng Premier League,27.0,1997.0,31,30,2704,30.0,0.07,0.13,0.07,0.13,0.03,0.12,0.03,0.12,95.0,51.0,53.7,33.0,34.7,63.33,4.47,20.33,26.93,16.97,1.27,63.33,3.17,1.7,1.1,29.57,190.23,106.43,3.1,1.8,0.4,0.93,0.67,36.33,4.37,2.5,0.17,2.03,0.13,0.2,0.07,0.0,0.07,0.13,0.0,0.0,0.03,0.0,0.0,1234.0,1525.0,80.9,17639.0,6513.0,786.0,876.0,89.7,384.0,468.0,82.1,46.0,96.0,47.9,0.07,0.09,0.08,-0.02,0.9,2.83,0.9,0.37,3.93,50.83,43.87,6.83,0.33,0.13,0.03,2.03,6.5,0.0,0.0,0.0,0.0,41.13,0.13,1.67,0.43,0.13,0.15,0.5,0.08,1.0,1.0,44.0,0.03,0.0,0.0,0.73,0.77,0.13,1.9,1.43,0.0,0.0,5.1,0.73,0.93,2.03,0.97,0.9,0.17,0.63,0.87,0.23,1.03,0.3,3.93,3.77,0.0,73.1
Paul Wanner,de GER,"MF,FW",Heidenheim,de Bundesliga,19.0,2005.0,27,18,1591,17.7,0.17,0.23,0.11,0.17,0.2,0.26,0.16,0.22,53.0,24.0,45.3,27.0,50.9,47.18,0.96,7.23,23.84,17.29,2.26,47.12,2.99,1.36,1.53,25.08,134.18,57.12,1.41,1.47,0.34,2.2,1.98,28.59,3.22,2.6,0.34,1.47,0.51,0.06,0.34,0.23,0.0,0.23,0.0,0.0,0.11,0.0,0.0,458.0,635.0,72.1,7165.0,1883.0,237.0,285.0,83.2,159.0,206.0,77.2,40.0,87.0,46.0,0.06,0.06,0.1,-0.01,0.96,2.26,0.68,0.17,3.33,35.88,30.17,5.48,1.86,0.23,0.11,2.82,0.73,1.36,0.96,0.28,0.0,25.88,0.23,1.02,1.3,0.28,0.09,0.4,0.12,-0.5,-0.7,41.4,0.11,0.0,0.0,1.19,0.68,0.06,0.23,1.24,0.0,0.0,4.52,0.68,0.96,1.86,0.85,0.96,0.06,0.79,1.69,0.9,0.73,0.0,2.09,1.13,0.0,46.7
Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,29.0,1995.0,34,27,2263,25.1,0.6,0.87,0.52,0.8,0.58,0.7,0.52,0.63,38.0,9.0,23.7,25.0,65.8,24.74,0.68,1.83,8.92,14.34,6.1,24.66,1.51,0.36,1.0,14.46,79.56,40.72,1.99,0.84,1.39,2.03,1.75,19.36,5.7,1.99,0.44,1.31,0.0,0.16,0.28,0.24,0.0,0.28,0.0,0.04,0.04,0.08,0.0,278.0,377.0,73.7,3510.0,579.0,175.0,222.0,78.8,74.0,91.0,81.3,9.0,12.0,75.0,0.28,0.12,0.06,0.16,0.88,0.44,0.44,0.0,1.12,15.02,14.62,0.28,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,11.08,0.12,0.64,3.02,1.27,0.17,0.41,0.17,0.5,0.0,43.0,0.08,0.0,0.0,1.08,1.16,0.48,0.28,0.24,0.08,0.0,1.55,1.83,2.43,0.36,0.0,0.2,0.16,0.12,0.44,0.32,0.44,0.12,0.64,0.56,0.08,27.3
Timothy Weah,us USA,"FW,DF",Juventus,it Serie A,25.0,2000.0,24,16,1395,15.5,0.32,0.45,0.32,0.45,0.22,0.32,0.22,0.32,31.0,12.0,38.7,14.0,45.2,55.94,1.61,11.35,23.16,21.68,2.26,55.94,2.0,0.77,0.9,33.35,192.52,88.84,2.77,1.03,1.16,1.42,0.97,38.32,7.16,2.06,0.13,1.68,0.06,0.06,0.13,0.13,0.0,0.06,0.0,0.0,0.06,0.0,0.0,590.0,704.0,83.8,9480.0,2356.0,295.0,320.0,92.2,257.0,289.0,88.9,27.0,53.0,50.9,0.13,0.1,0.07,0.03,1.03,2.32,0.77,0.39,3.16,45.42,41.29,4.0,0.13,0.13,0.13,2.65,3.74,0.0,0.0,0.0,0.0,38.06,0.13,1.23,1.35,0.58,0.24,0.56,0.16,1.6,1.6,46.2,0.26,0.0,0.0,1.1,0.84,0.19,0.71,1.1,0.0,0.0,3.35,1.16,1.35,1.94,0.77,0.77,0.39,0.77,1.23,0.45,1.48,0.26,2.65,1.29,0.06,63.2
Julian Weigl,de GER,MF,Gladbach,de Bundesliga,29.0,1995.0,29,29,2539,28.2,0.0,0.07,0.0,0.07,0.02,0.06,0.02,0.06,7.0,7.0,100.0,0.0,0.0,65.6,3.83,22.66,37.55,5.89,0.32,65.6,0.25,0.25,0.0,32.98,124.93,55.85,0.35,0.46,0.04,0.46,0.32,44.75,0.32,1.63,0.21,1.42,0.0,0.0,0.18,0.04,0.0,0.21,0.0,0.0,0.0,0.0,0.0,1387.0,1572.0,88.2,25043.0,7587.0,552.0,603.0,91.5,664.0,726.0,91.5,137.0,172.0,79.7,0.07,0.04,0.06,0.03,0.39,3.9,0.53,0.04,3.58,55.74,53.87,1.74,1.67,0.18,0.21,0.32,0.07,0.0,0.0,0.0,0.0,49.18,0.14,0.71,0.64,0.21,0.0,0.0,0.04,-0.7,-0.7,64.8,0.25,0.0,0.0,0.74,0.82,0.0,1.52,0.78,0.0,0.11,4.08,1.24,0.67,1.74,0.82,0.74,0.18,0.89,1.42,0.53,1.67,0.74,3.26,2.59,0.07,62.5
Mitchell Weiser,de GER,"DF,MF",Werder Bremen,de Bundesliga,31.0,1994.0,28,28,2511,27.9,0.18,0.47,0.18,0.47,0.17,0.32,0.17,0.32,72.0,29.0,40.3,37.0,51.4,59.32,1.86,12.26,28.21,19.57,3.41,59.32,2.58,1.04,1.33,29.89,129.96,65.2,1.97,1.36,0.43,2.33,1.25,36.13,6.06,2.65,0.43,2.22,0.07,0.07,0.11,0.11,0.07,0.39,0.0,0.0,0.04,0.0,0.0,973.0,1317.0,73.9,14404.0,5724.0,540.0,638.0,84.6,336.0,447.0,75.2,54.0,113.0,47.8,0.29,0.14,0.16,0.14,1.33,2.11,1.18,0.39,3.62,47.2,38.39,8.67,0.25,0.32,0.18,2.29,8.32,0.0,0.0,0.0,0.0,34.87,0.14,1.72,1.33,0.5,0.14,0.36,0.13,0.2,0.2,36.6,0.32,0.04,0.04,0.93,1.33,0.04,0.72,1.29,0.0,0.0,4.73,0.93,1.61,1.94,0.57,1.08,0.29,0.9,1.65,0.75,0.9,0.07,2.65,1.9,0.11,54.3
Danny Welbeck,eng ENG,FW,Brighton,eng Premier League,34.0,1990.0,26,20,1762,19.6,0.46,0.66,0.46,0.66,0.41,0.47,0.41,0.47,35.0,12.0,34.3,20.0,57.1,30.46,0.66,2.3,13.06,15.31,4.39,30.46,1.79,0.61,1.02,18.16,85.0,36.53,0.92,1.02,0.31,2.14,1.17,22.4,3.93,2.09,0.31,1.53,0.05,0.15,0.05,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,332.0,397.0,83.6,3879.0,762.0,218.0,254.0,85.8,75.0,86.0,87.2,7.0,7.0,100.0,0.2,0.06,0.06,0.15,0.87,0.71,0.61,0.0,1.99,20.26,19.34,0.92,0.1,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,16.94,0.0,0.66,2.66,1.02,0.17,0.45,0.15,1.0,1.0,39.5,0.2,0.0,0.0,0.51,1.02,0.1,0.26,0.66,0.0,0.0,1.79,0.77,1.17,1.12,0.31,0.61,0.2,0.31,0.87,0.56,0.77,0.05,1.38,0.56,0.0,35.3
Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,20.0,2004.0,18,14,1196,13.3,0.0,0.08,0.0,0.08,0.02,0.23,0.02,0.23,10.0,2.0,20.0,8.0,80.0,59.77,2.03,14.21,31.5,14.36,0.75,59.77,0.75,0.15,0.6,29.77,138.35,73.08,1.05,1.5,0.15,1.05,0.9,36.84,0.75,4.07,0.38,3.31,0.6,0.0,0.08,0.0,0.08,0.3,0.08,0.0,0.0,0.0,0.0,500.0,660.0,75.8,9402.0,3536.0,189.0,230.0,82.2,241.0,298.0,80.9,62.0,97.0,63.9,0.08,0.21,0.14,-0.14,1.73,5.34,1.35,0.38,7.74,49.62,46.77,2.33,0.75,0.38,0.08,2.41,0.0,1.58,1.13,0.08,0.0,37.59,0.53,0.83,0.83,0.38,0.0,0.0,0.03,-0.3,-0.3,30.4,0.15,0.0,0.0,0.9,1.58,0.0,1.28,1.05,0.0,0.0,6.84,0.53,1.2,2.48,0.98,1.2,0.3,1.2,3.08,1.88,0.75,0.15,3.76,1.88,0.0,39.0
Iñaki Williams,gh GHA,"FW,MF",Athletic Club,es La Liga,30.0,1994.0,31,27,2463,27.4,0.18,0.48,0.18,0.48,0.25,0.5,0.25,0.5,96.0,32.0,33.3,53.0,55.2,39.67,1.09,3.8,12.88,23.54,4.67,39.67,3.5,1.17,1.93,24.93,145.44,76.93,3.65,1.24,1.61,2.23,1.35,30.62,10.36,2.6,0.48,1.97,0.04,0.18,0.22,0.11,0.07,0.36,0.0,0.07,0.04,0.0,0.0,475.0,770.0,61.7,7126.0,2064.0,271.0,365.0,74.2,174.0,264.0,65.9,20.0,73.0,27.4,0.29,0.25,0.17,0.04,1.31,1.28,1.68,0.51,2.52,28.1,27.01,0.91,0.0,0.22,0.22,4.12,0.73,0.0,0.0,0.0,0.0,17.34,0.18,1.24,2.23,0.8,0.08,0.23,0.11,-1.8,-1.8,58.3,0.04,0.0,0.0,0.77,1.31,0.51,0.44,0.36,0.04,0.0,2.96,1.02,0.73,0.62,0.15,0.29,0.18,0.44,0.77,0.33,1.09,0.15,1.06,1.02,0.0,57.1
Neco Williams,wls WAL,DF,Nott'ham Forest,eng Premier League,24.0,2001.0,30,23,2144,23.8,0.04,0.13,0.04,0.13,0.09,0.15,0.09,0.15,39.0,15.0,38.5,17.0,43.6,51.72,5.71,18.91,18.36,15.08,1.47,51.72,1.64,0.63,0.71,20.67,128.78,70.8,2.27,1.09,0.59,0.97,0.63,23.95,3.4,1.68,0.21,1.34,0.13,0.0,0.17,0.04,0.0,0.17,0.04,0.0,0.0,0.0,0.0,647.0,860.0,75.2,9805.0,4000.0,371.0,415.0,89.4,217.0,301.0,72.1,34.0,84.0,40.5,0.08,0.06,0.05,0.03,0.59,2.1,0.71,0.29,2.94,36.13,28.74,7.23,0.67,0.04,0.04,1.68,6.47,0.08,0.0,0.08,0.0,27.18,0.17,1.01,1.34,0.25,0.03,0.17,0.07,-1.2,-1.2,57.6,0.21,0.0,0.0,0.84,1.43,0.04,1.01,1.85,0.0,0.0,3.53,1.43,1.05,3.07,2.27,0.59,0.21,1.81,2.86,1.05,1.55,0.34,4.08,4.75,0.08,63.2
Nico Williams,es ESP,FW,Athletic Club,es La Liga,22.0,2002.0,27,21,1891,21.0,0.24,0.48,0.24,0.48,0.18,0.35,0.18,0.35,172.0,63.0,36.6,94.0,54.7,48.14,0.38,3.81,14.62,30.71,5.19,48.14,8.19,3.0,4.48,31.43,249.71,132.86,5.33,2.62,2.67,2.71,2.1,35.05,11.71,5.14,0.62,3.0,0.62,1.0,0.14,0.24,0.14,0.43,0.1,0.05,0.0,0.05,0.0,475.0,675.0,70.4,7398.0,1716.0,273.0,327.0,83.5,152.0,203.0,74.9,36.0,84.0,42.9,0.24,0.17,0.2,0.07,1.86,1.05,1.33,0.38,3.14,32.14,29.1,2.86,0.38,0.0,0.1,5.1,0.57,1.9,0.57,0.95,0.0,22.62,0.19,1.62,2.47,0.9,0.1,0.26,0.07,1.1,1.1,39.3,0.05,0.0,0.0,0.71,1.62,0.43,0.29,0.81,0.0,0.0,3.95,0.52,0.81,1.29,0.48,0.52,0.29,0.48,1.43,0.95,0.9,0.05,1.57,0.43,0.0,33.3
Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,de Bundesliga,23.0,2001.0,25,18,1491,16.6,0.18,0.42,0.18,0.42,0.21,0.37,0.21,0.37,56.0,29.0,51.8,24.0,42.9,45.18,0.96,8.25,19.04,18.92,3.37,45.18,3.37,1.75,1.45,24.82,146.57,73.67,2.17,2.23,0.66,2.23,1.39,26.08,4.04,3.5,0.72,2.23,0.42,0.36,0.12,0.24,0.12,0.42,0.06,0.06,0.06,0.06,0.06,333.0,521.0,63.9,5597.0,2159.0,182.0,253.0,71.9,104.0,149.0,69.8,38.0,67.0,56.7,0.24,0.16,0.18,0.08,1.2,2.59,1.2,0.24,4.4,31.39,28.25,3.01,0.66,0.36,0.06,2.11,0.9,1.14,0.48,0.66,0.0,20.06,0.12,1.99,2.05,0.48,0.09,0.38,0.1,-0.4,-0.4,44.7,0.3,0.06,0.0,1.81,2.17,0.36,1.69,1.69,0.0,0.0,4.58,2.05,2.53,2.29,1.08,0.84,0.36,0.84,2.17,1.33,1.69,0.18,3.98,0.72,0.12,38.9
Jonas Wind,dk DEN,"FW,MF",Wolfsburg,de Bundesliga,26.0,1999.0,28,19,1778,19.8,0.4,0.56,0.35,0.51,0.26,0.47,0.17,0.38,19.0,6.0,31.6,11.0,57.9,35.61,0.76,2.63,18.59,14.55,3.84,35.51,0.96,0.3,0.56,20.2,68.99,23.48,0.76,0.51,0.51,2.37,1.26,28.18,4.19,2.98,0.3,2.58,0.0,0.0,0.2,0.2,0.0,0.25,0.0,0.0,0.05,0.0,0.0,377.0,533.0,70.7,5381.0,1938.0,228.0,303.0,75.2,113.0,149.0,75.8,18.0,29.0,62.1,0.15,0.21,0.23,-0.06,1.62,2.88,1.11,0.0,4.65,26.92,26.06,0.66,0.05,0.25,0.0,0.35,0.0,0.0,0.0,0.0,0.0,19.04,0.2,0.86,1.67,0.46,0.21,0.78,0.1,2.8,3.6,49.7,0.1,0.0,0.0,0.71,1.82,0.15,0.25,0.2,0.0,0.0,2.58,4.24,4.29,0.35,0.05,0.3,0.0,0.1,0.3,0.2,0.81,0.15,0.61,0.71,0.0,33.3
Harry Winks,eng ENG,MF,Leicester City,eng Premier League,29.0,1996.0,22,17,1538,17.1,0.0,0.12,0.0,0.12,0.01,0.09,0.01,0.09,12.0,3.0,25.0,8.0,66.7,67.72,2.87,16.08,43.63,8.83,0.06,67.72,0.7,0.18,0.47,40.7,191.11,89.01,1.11,0.76,0.0,0.76,0.47,48.36,0.64,2.28,0.18,1.7,0.41,0.06,0.06,0.06,0.0,0.12,0.06,0.0,0.0,0.0,0.0,910.0,1045.0,87.1,14101.0,5048.0,471.0,511.0,92.2,362.0,397.0,91.2,44.0,76.0,57.9,0.12,0.07,0.09,0.05,0.99,6.43,0.41,0.29,5.91,61.11,57.37,3.57,2.05,0.23,0.12,1.99,0.29,0.94,0.64,0.18,0.0,53.22,0.18,0.64,0.59,0.23,0.0,0.0,0.02,-0.2,-0.2,57.1,0.23,0.0,0.0,0.53,0.76,0.0,0.53,0.64,0.0,0.0,6.2,0.47,0.35,1.4,0.7,0.58,0.12,0.76,1.75,0.99,1.11,0.41,1.93,1.17,0.0,43.3
Florian Wirtz,de GER,"MF,FW",Leverkusen,de Bundesliga,21.0,2003.0,27,21,2000,22.2,0.41,0.86,0.32,0.77,0.38,0.66,0.23,0.51,147.0,74.0,50.3,68.0,46.3,80.9,0.32,4.55,30.72,46.62,5.5,80.72,6.62,3.33,3.06,46.67,270.9,138.69,4.95,2.75,2.16,2.25,1.94,63.6,12.07,5.76,0.85,4.1,0.27,0.9,0.27,0.18,0.05,0.54,0.0,0.14,0.14,0.05,0.0,1183.0,1499.0,78.9,15845.0,4202.0,757.0,862.0,87.8,312.0,420.0,74.3,60.0,111.0,54.1,0.45,0.28,0.38,0.17,2.3,3.42,2.7,0.36,6.8,67.52,62.88,4.37,1.04,1.04,0.32,3.69,1.67,1.49,0.59,0.14,0.0,53.29,0.27,1.58,2.79,1.26,0.11,0.25,0.08,0.5,1.8,15.0,0.09,0.0,0.0,0.81,1.62,0.41,0.36,0.86,0.05,0.0,4.41,0.27,1.53,1.4,0.45,0.5,0.45,0.41,0.9,0.5,1.13,0.05,1.76,0.23,0.0,45.0
