PlayerName,Team,Pos,Age,MP,Starts,Min,90s,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Arnaud Kalimuendo,Rennes,FW,23.0,19.0,18.0,1490.0,16.6,0.24,0.2,1.81,0.0,0.06,0.26,1.45,20.6,78.0,2.66,1.27,0.79,4.29,6.22,0.54,0.12,0.36,0.48,0.91
Arnaud Nordin,Montpellier,AM,26.0,16.0,14.0,1166.0,13.0,0.23,0.19,2.01,0.08,0.07,0.26,2.32,25.63,69.9,1.78,3.94,1.78,3.78,8.57,1.85,0.39,0.93,0.54,0.93
Aron Dønnum,Toulouse,FB,26.0,19.0,18.0,1526.0,17.0,0.0,0.06,0.94,0.0,0.09,0.16,2.3,40.58,70.5,4.19,3.95,1.95,2.48,4.9,1.53,1.06,1.0,1.47,0.47
Arouna Sangante,Le Havre,CB,22.0,9.0,9.0,702.0,7.8,0.26,0.05,0.64,0.0,0.01,0.06,1.03,52.31,84.1,3.85,0.9,0.38,0.77,0.13,1.54,1.92,0.9,3.85,1.79
Augustine Boakye,Saint-Étienne,AM,24.0,13.0,6.0,614.0,6.8,0.44,0.21,2.93,0.0,0.1,0.31,4.25,30.78,76.2,3.96,2.93,1.91,3.52,6.16,1.03,0.73,0.59,0.44,0.73
Aurélio Buta,Reims,FB,27.0,17.0,16.0,1336.0,14.8,0.0,0.01,0.4,0.07,0.02,0.03,1.68,48.23,84.1,4.51,1.15,0.4,0.54,2.83,2.09,1.01,0.67,2.49,0.61
Ayyoub Bouaddi,Lille,MF,17.0,15.0,7.0,681.0,7.6,0.0,0.0,0.13,0.13,0.12,0.12,1.19,44.14,88.0,2.91,0.93,1.32,0.79,1.45,4.49,0.93,0.66,1.06,0.79
Azor Matusiwa,Rennes,MF,26.0,18.0,17.0,1462.0,16.2,0.0,0.01,0.31,0.0,0.05,0.07,1.72,49.92,86.9,5.73,0.49,0.8,0.31,0.62,3.14,1.72,1.29,2.15,1.23
Badredine Bouanani,Nice,AM,20.0,18.0,6.0,674.0,7.5,0.27,0.17,2.94,0.0,0.13,0.31,3.61,36.59,76.6,4.01,4.14,1.2,3.2,7.08,0.8,0.8,1.6,0.53,0.13
Bafodé Diakité,Lille,CB,24.0,20.0,20.0,1800.0,20.0,0.15,0.09,0.5,0.05,0.01,0.09,0.55,71.65,92.6,2.9,0.45,0.15,0.6,0.15,0.9,0.9,1.0,2.65,1.95
Baptiste Santamaria,Nice,MF,29.0,2.0,2.0,177.0,2.0,0.0,0.05,1.09,0.14,0.04,0.1,1.64,52.44,82.8,4.51,0.55,0.27,0.82,1.23,2.05,1.91,1.78,1.78,2.46
