PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Alex Král,MF,0.0,0.04,0.61,0.05,0.07,0.1,1.36,29.02,71.9,2.9,1.64,0.98,1.64,2.48,2.11,0.94,1.12,1.45,0.94
Omar El Hilali,FB,0.0,0.0,0.05,0.1,0.03,0.03,0.73,43.29,78.4,2.99,1.08,0.49,0.1,1.32,3.53,0.98,1.47,3.77,0.98
Javi Puado,FW,0.31,0.25,1.94,0.05,0.05,0.3,1.42,19.93,75.5,2.05,1.94,0.68,3.51,3.15,0.68,0.21,0.58,0.68,0.37
Marash Kumbulla,CB,0.11,0.05,0.38,0.0,0.0,0.06,0.6,42.86,85.3,2.47,0.49,0.05,0.49,0.05,1.53,0.82,1.64,6.03,2.25
Leandro Cabrera,CB,0.12,0.04,0.59,0.06,0.02,0.06,0.88,48.53,73.8,2.71,0.35,0.06,1.18,0.18,1.59,1.0,1.12,5.76,2.53
Jofre,MF,0.13,0.15,2.04,0.2,0.11,0.25,2.57,19.58,69.0,2.04,2.44,1.38,3.23,5.74,0.92,0.59,0.26,1.05,0.13
Pol Lozano,MF,0.0,0.0,0.15,0.0,0.03,0.04,1.96,39.88,84.2,5.19,0.68,0.23,0.0,0.6,2.63,1.05,1.43,1.2,0.45
Carlos Romero,FB,0.15,0.09,1.04,0.07,0.07,0.16,2.0,35.39,68.1,2.6,2.08,0.67,1.04,4.01,2.6,0.82,1.11,3.19,0.45
Álvaro Tejero,MF,0.08,0.05,1.32,0.25,0.21,0.26,3.56,43.47,71.2,2.98,1.9,0.17,0.99,5.13,0.83,0.83,0.66,2.24,0.66
Brian Oliván,FB,0.0,0.04,0.53,0.09,0.1,0.13,2.12,40.53,69.2,3.54,1.86,0.09,0.71,5.04,1.15,0.89,0.53,2.04,0.27
Alejo Véliz,FW,0.1,0.18,1.52,0.0,0.05,0.24,0.81,14.58,68.1,0.61,0.1,0.1,2.23,2.33,0.1,0.3,1.11,1.72,3.95
José Gragera,MF,0.0,0.0,0.32,0.0,0.0,0.02,1.11,34.32,87.6,2.21,0.16,0.16,0.63,0.47,3.95,0.79,1.42,2.06,1.74
Sergi Gómez,CB,0.0,0.04,0.28,0.0,0.0,0.04,0.55,48.04,88.8,1.1,0.0,0.0,0.55,0.14,1.1,0.97,1.66,4.97,1.52
Irvin Cardona,FW,0.15,0.16,1.49,0.15,0.09,0.25,2.97,23.91,62.1,2.23,2.08,0.45,3.42,6.39,1.19,0.59,0.74,1.49,1.19
Walid Cheddira,FW,0.15,0.14,1.53,0.15,0.18,0.32,2.6,13.93,72.5,1.68,1.07,0.61,4.59,4.74,0.61,0.15,0.46,0.92,1.99
Carlos Vicente,AM,0.15,0.09,0.97,0.15,0.17,0.25,2.73,29.27,62.1,1.46,3.02,1.12,2.44,6.14,1.12,0.44,0.97,0.97,0.88
