PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Mohamed Abdelmoneim,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.44,48.55,87.5,3.85,0.3,0.15,0.15,0.44,2.52,1.92,0.89,5.77,3.26
Mohamed Ali Cho,AM,0.26,0.18,1.71,0.17,0.23,0.41,3.42,25.58,69.2,2.82,3.76,1.03,3.85,7.53,0.68,0.09,1.03,0.43,0.68
Mohammed Salisu,CB,0.09,0.07,0.71,0.0,0.01,0.07,1.24,68.29,85.4,6.0,0.71,0.0,1.24,0.26,2.47,1.41,0.88,4.76,3.09
Moïse Bombito,CB,0.0,0.05,0.3,0.0,0.0,0.05,0.6,55.65,90.4,3.47,1.06,0.6,0.38,0.3,1.28,0.68,1.36,5.44,1.59
Moses Simon,AM,0.18,0.11,1.72,0.36,0.19,0.3,3.85,29.62,61.8,2.13,5.63,2.49,4.56,8.24,0.59,0.53,0.59,0.59,0.3
Mostafa Mohamed,FW,0.44,0.45,3.51,0.0,0.03,0.47,1.17,17.53,58.3,2.19,1.31,0.73,7.45,4.38,1.46,0.29,0.58,1.9,3.36
Moussa Niakhate,CB,0.0,0.01,0.12,0.0,0.01,0.02,0.68,60.04,90.1,3.5,0.92,0.12,0.31,0.12,1.66,0.74,0.98,4.79,1.23
Musa Al-Taamari,AM,0.16,0.21,2.18,0.08,0.12,0.33,2.82,24.52,77.3,2.42,4.44,1.85,4.44,6.13,1.13,0.24,0.16,0.24,0.65
Nathan Zeze,CB,0.0,0.02,0.35,0.0,0.0,0.02,0.6,49.88,85.8,2.59,0.17,0.17,0.35,0.0,2.24,1.47,1.55,7.51,1.64
Neal Maupay,FW,0.32,0.35,1.61,0.43,0.24,0.59,2.04,25.32,82.2,3.0,0.86,0.43,3.86,6.22,0.75,0.21,0.43,0.0,0.43
Neil El Aynaoui,MF,0.19,0.09,0.75,0.0,0.15,0.24,2.26,55.54,86.8,5.84,1.13,0.38,1.13,2.45,2.82,0.94,2.26,2.07,1.13
Nemanja Matić,MF,0.0,0.0,0.07,0.0,0.06,0.06,2.35,59.72,85.4,7.32,1.92,0.5,1.85,0.85,1.78,0.85,1.14,1.28,0.78
Ngal'Ayel Mukau,MF,0.0,0.04,0.74,0.0,0.04,0.06,1.48,53.04,90.9,4.7,1.48,0.37,0.49,2.47,2.72,1.48,1.11,1.85,1.48
Nhoa Sangui,FB,0.0,0.01,0.37,0.12,0.04,0.05,1.34,49.34,82.4,3.42,0.73,0.73,0.85,4.52,1.1,0.49,0.85,1.83,0.37
Nicolas Cozza,FB,0.07,0.07,0.72,0.0,0.09,0.16,1.05,34.7,76.1,2.96,1.19,0.33,1.58,2.04,2.3,0.99,1.05,2.96,0.86
Nicolas Pallois,CB,0.0,0.0,0.15,0.08,0.01,0.01,0.46,37.63,85.5,1.84,0.15,0.15,0.08,0.23,2.53,1.31,1.61,8.22,1.23
